store	itemCode	description	dailyUsage	buildTo	stockOnHand	stockOnOrder	orderQty	unit	onHandSource	buildToSource
3808	37997	BAG NACHO CHIPS LARGE	0.0729	0.7286	0	0	1	CARTON-500	report	default
3808	38088	DESSERT CHOCETTES	0.0557	0.5571	0.5	0	1	CARTON-2x2.5KG	report	catalog-days
3808	38701	LAVA SAUCE	0.1471	1.4714	0.85	0	1	CARTON-10x1KG	report	catalog-days
3808	39054	SEASONING MEXICAN RICE	0.1329	1.3286	0.7	0	1	BAG-10KG	report	catalog-days
3808	39185	STRAW PAPER KFC	0.0414	0.4143	0.2	0	1	CARTON-4000	report	default
3808	39769	WOODEN FORK	0.0471	0.4714	0.3	0	1	CARTON-1000	report	default
3808	40062A	CINNAMON TWISTS	0.0271	0.2714	0	0	1	CARTON-4X5KG	report	catalog-days
3808	40303	CHICKEN CRISPY	0.4143	4.1429	1.6667	2	1	CARTON-6x41	report	catalog-days
3808	TB13735	LID POSTMIX	0.1629	1.6286	1	0	1	CARTON-1000	report	default
3808	10004724	DRINK PEPSI CAN	0.1371	1.7829	2.6	0	0	CARTON-30	report	catalog-days
3808	10005242	DRINK WATER SPARKLING 500ML	0.0171	0.2229	0.2917	0	0	CARTON-24	report	catalog-days
3808	10005385	DRINK MOUNTAIN DEW BIB 15L	0.0543	4	37.5	0	0	CARTON-15L	report	catalog-fixed
3808	10005562	DRINK FCB FREEZE MOUNTAIN DEW 10L	0.0143	1	8	0	0	CARTON-10L	report	catalog-fixed
3808	10006573	DRINK SUNKIST ORANGE CAN	0.0843	1.0957	1.2917	0	0	CARTON-24	report	catalog-days
3808	10006909	DRINK RED BULL ED 250ML	0.0529	0.6871	0.875	0	0	CARTON-24	report	catalog-days
3808	10006936	DRINK RED BULL S/FREE 250ML	0.0171	0.2229	0.25	0	0	CARTON-24	report	catalog-days
3808	10007184	DRINK JUICE POP TOP ORANGE 250ML	0.0229	0.2971	0.9167	0	0	CARTON-24	report	catalog-days
